source-cph,source-count,source-date,target-cph,target-count,target-date,animal-type,haulier-id
47/108/1420,5,2024-03-12,58/102/9234,5,2024-03-12,BOV,H0087
69/102/7483,38,2024-01-16,90/101/0852,38,2024-01-16,POR,H0028
21/113/2293,36,2024-11-28,43/111/5983,36,2024-12-01,POR,H0029
44/111/0907,1,2024-03-22,14/106/1194,1,2024-03-25,BOV,H0044
45/103/2966,6,2024-07-13,44/119/3088,6,2024-07-13,BOV,H0046
47/108/1420,47,2024-03-04,45/102/5645,47,2024-03-07,OVI,H0011
58/101/0855,40,2024-07-04,58/104/2683,40,2024-07-05,OVI,H0091
44/109/6112,50,2024-02-10,46/106/8960,50,2024-02-11,POR,H0013
19/104/6041,6,2024-06-30,14/105/3675,6,2024-07-01,BOV,H0086
18/114/1531,5,2024-03-28,45/105/3877,5,2024-03-29,CERV,H0021
44/117/3237,9,2024-06-15,14/105/3675,9,2024-06-15,BOV,H0030
47/106/2335,2,2024-10-17,44/104/6336,2,2024-10-19,BOV,H0028
75/102/1580,8,2024-03-12,77/102/0208,8,2024-03-13,BOV,H0096
58/106/1499,10,2024-10-25,47/108/1420,10,2024-10-28,BOV,H0047
14/104/3572,33,2024-01-25,20/104/4395,33,2024-01-25,CERV,H0020
57/103/7768,28,2024-07-16,47/105/8519,28,2024-07-19,OVI,H0077
75/102/1580,1,2024-02-28,58/105/9218,1,2024-03-01,CERV,H0099
47/106/2335,7,2024-01-02,47/104/3940,7,2024-01-04,BOV,H0065
58/101/0855,5,2024-09-16,45/103/2966,5,2024-09-17,BOV,H0020
44/111/0907,9,2024-06-14,18/102/0498,4,2024-06-17,BOV,H0003
20/105/9566,5,2024-05-03,46/105/6171,5,2024-05-03,BOV,H0011
70/103/8394,49,2024-03-05,62/101/3385,49,2024-03-06,OVI,H0085
44/115/0281,17,2024-11-06,14/106/1194,17,2024-11-09,POR,H0028
68/102/3759,46,2024-12-09,46/107/7764,46,2024-12-11,POR,H0057
21/111/1316,2,2024-10-28,62/103/5759,2,2024-10-29,BOV,H0076
43/106/8719,1,2024-01-17,44/107/2090,1,2024-01-19,BOV,H0010
47/101/0376,8,2024-03-08,59/104/6331,8,2024-03-11,BOV,H0032
59/102/0681,2,2024-06-30,44/112/6420,2,2024-07-03,BOV,H0053
44/107/2090,44,2024-11-26,14/102/1127,44,2024-11-26,OVI,H0008
44/107/2090,2,2024-04-07,18/103/1134,2,2024-04-10,BOV,H0018
18/110/8187,4,2024-02-08,44/105/6859,4,2024-02-11,BOV,H0071
44/101/1013,35,2024-02-17,45/108/6808,35,2024-02-18,POR,H0022
43/109/2637,7,2024-07-13,43/102/2744,5,2024-07-13,BOV,H0050
44/101/1013,30,2024-12-22,44/119/3088,30,2024-12-25,OVI,H0020
